"Product Name",Category,age_range,purchase_count,profit
"Fabrikam Laptop16 M6000 Black",Computers,11-20,5,1617.7
"WWI 1GB Pulse Smart pen E50 Silver",Audio,11-20,25,1750.67
"NT Wireless Bluetooth Stereo Headphones M402 Green",Audio,11-20,22,1054.19
"Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Black",Computers,11-20,14,1642.57
"SV Hand Games for kids E30 Silver","Games and Toys",11-20,14,33.74
"Adventure Works 20" LCD HDTV M120 White","TV and Video",11-20,7,1491.48
"SV 16xDVD E340 Silver","TV and Video",11-20,13,612.09
"A. Datum Consumer Digital Camera E100 Pink","Cameras and camcorders",11-20,12,1545.18
"SV DVD 38 DVD Storage Binder E25 Black","Music, Movies and Audio Books",11-20,34,167.49
"WWI 2GB Spy Video Recorder Pen M300 White",Audio,11-20,23,2023.82
"SV 16xDVD M310 Black","TV and Video",11-20,16,1247.16
"Contoso DVD 9-Inch Player Portable M300 Silver","Music, Movies and Audio Books",11-20,24,1903.97
"NT Wireless Transmitter and Bluetooth Headphones M150 Black",Audio,11-20,22,2108.46
"Contoso DVD 55DVD Storage Binder M56 Silver","Music, Movies and Audio Books",11-20,20,131.65
"Contoso Screen 125in M250 White",Computers,11-20,6,1772.95
"A. Datum Ultra Compact Digital Camera M190 Black","Cameras and camcorders",11-20,1,62.42
"The Phone Company Touch Screen Phones SAW/Built-in M801 Black","Cell phones",11-20,12,1938
"Contoso DVD 60 DVD Storage Binder L20 Silver","Music, Movies and Audio Books",11-20,27,442.54
"SV Hand Games for 12-16 boys E60 Yellow","Games and Toys",11-20,31,85.29
"The Phone Company PDA Wifi 3.5-inch M200 Black","Cell phones",11-20,14,1720.1
"Adventure Works 52" LCD HDTV X590 Brown","TV and Video",11-20,11,21754.97
"Contoso Dual Handset Cordless Phone System  E20 Black","Cell phones",11-20,4,24.67
"MGS Fable: The Lost Chapters E107","Games and Toys",11-20,9,230.45
"SV 8xDVD E140 Silver","TV and Video",11-20,20,634.89
"SV DVD External DVD Burner M200 Black","Music, Movies and Audio Books",11-20,17,548.68
"Contoso DVD 38 DVD Storage Binder E25 Red","Music, Movies and Audio Books",11-20,29,158.48
"Contoso Lens Adapter M450 Silver","Cameras and camcorders",11-20,6,164.03
"A. Datum Slim Digital Camera M180 Orange","Cameras and camcorders",11-20,3,164.8
"Contoso DVD External DVD Burner M200 Grey","Music, Movies and Audio Books",11-20,34,990.1
"The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Gold","Cell phones",11-20,26,3107.66
"NT Wireless Bluetooth Stereo Headphones E302 Black",Audio,11-20,24,558.72
"Contoso SLR Camera X144 Silver Grey","Cameras and camcorders",11-20,2,701.31
"SV 500GB USB 2.0 Portable External Hard Drive X405 Black",Computers,11-20,11,1271.41
"Adventure Works Wall Lamp E2150 Grey","Home Appliances",11-20,3,157.71
"Fabrikam SLR Camera X149 Blue","Cameras and camcorders",11-20,2,576.23
"Contoso Telephoto Conversion Lens M350 White","Cameras and camcorders",11-20,8,397.17
"Contoso DVD 14-Inch Player Portable L100 Black","Music, Movies and Audio Books",11-20,21,3574.96
"Contoso DVD 48 DVD Storage Binder M50 Silver","Music, Movies and Audio Books",11-20,47,447.51
"Contoso Optical Wheel OEM PS/2 Mouse E60 Silver",Computers,11-20,6,39.12
"Proseware High Speed Laser M2000 White",Computers,11-20,3,419.25
"MGS Bicycle Casino Games X700","Games and Toys",11-20,10,714.08
"Adventure Works Desktop PC1.80 ED182 Silver",Computers,11-20,32,6961.49
"SV DVD External DVD Burner M200 Blue","Music, Movies and Audio Books",11-20,27,835.17
"The Phone Company Touch Screen Phone 1600 TFT-1.4" L250 Black","Cell phones",11-20,36,13153.8
"Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 White","Cell phones",11-20,23,50.04
"Contoso Centrex Phone System L10 White","Cell phones",11-20,7,175.78
"WWI LCD24W X300 White",Computers,11-20,4,2197.99
"Contoso DVD 48 DVD Storage Binder M50 Black","Music, Movies and Audio Books",11-20,16,151.79
"SV Hand Games women M40 Silver","Games and Toys",11-20,14,65.54
"WWI Stereo Bluetooth Headphones New Generation M370 Yellow",Audio,11-20,5,337.64
"Contoso Carrying Case E312 Blue","Cameras and camcorders",11-20,7,157.25
"SV DVD 14-Inch Player Portable L100 White","Music, Movies and Audio Books",11-20,24,4276.28
"A. Datum SLR-like Digital Camera M400 Black","Cameras and camcorders",11-20,10,969.68
"SV 16xDVD M360 Silver","TV and Video",11-20,23,1886
"Contoso Multi-line phones M30 White","Cell phones",11-20,6,89.74
"Contoso Water Heater 1.5GPM E0800 Red","Home Appliances",11-20,10,1416.88
"Adventure Works Desktop PC1.60 ED160 Silver",Computers,11-20,13,1729.41
"Contoso Water Heater 4.3GPM M1250 Green","Home Appliances",11-20,14,7140.93
"WWI Desktop PC1.80 E1801 Silver",Computers,11-20,21,2689
"A. Datum Bridge Digital Camera M300 Pink","Cameras and camcorders",11-20,2,140.97
"SV DVD Recorder L210 Silver","Music, Movies and Audio Books",11-20,18,2507.46
"MGS Age of Empires II Gold Edition2009 E172","Games and Toys",11-20,6,79.93
"Adventure Works Laptop15 M1501 White",Computers,11-20,12,4776.21
"WWI Desktop PC1.60 E1600 White",Computers,11-20,27,2950.07
"NT Bluetooth Stereo Headphones E52 Yellow",Audio,11-20,8,118.48
"NT Wireless Bluetooth Stereo Headphones E302 White",Audio,11-20,21,513.48
"Proseware Office Jet Wireless All-in-One Inkjet Printer M600 White",Computers,11-20,1,102.63
"MGS Dungeon Siege II E105","Games and Toys",11-20,18,490.18
"SV DVD 7-Inch Player Portable E200 Black","Music, Movies and Audio Books",11-20,24,1265.7
"Litware Refrigerator 3.2CuFt E160 Green","Home Appliances",11-20,6,823.44
"Fabrikam Microwave 1.6CuFt M1250 Silver","Home Appliances",11-20,14,1143.6
"Adventure Works 19" Portable LCD HDTV M110 Silver","TV and Video",11-20,5,681.44
"Adventure Works LCD24 X300 Black",Computers,11-20,1,493.54
"Adventure Works 52" LCD HDTV X590 White","TV and Video",11-20,7,13219.71
"WWI Stereo Bluetooth Headphones E1000 Green",Audio,11-20,22,624.64
"Adventure Works LCD22 M200 White",Computers,11-20,13,5380.83
"The Phone Company Smart phones 4 GB of Memory M300 Gold","Cell phones",11-20,8,1019.97
"A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure","Cameras and camcorders",11-20,24,4221.18
"SV DVD 60 DVD Storage Binder L20 Black","Music, Movies and Audio Books",11-20,30,431.88
"SV DVD 48 DVD Storage Binder M50 Black","Music, Movies and Audio Books",11-20,9,93.07
"Contoso 8GB MP3 Player new model M820 Yellow",Audio,11-20,15,1154.93
"SV DVD 12-Inch Player Portable M400 Black","Music, Movies and Audio Books",11-20,36,3753.92
"Contoso Lens Adapter M450 White","Cameras and camcorders",11-20,5,178.22
"Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 White","Cameras and camcorders",11-20,2,648.16
"SV PCI Network Adapter E905 Silver",Computers,11-20,2,36.69
"SV DVD 60 DVD Storage Binder L20 Silver","Music, Movies and Audio Books",11-20,18,285.72
"Cigarette Lighter Adapter for Contoso Phones E110 White","Cell phones",11-20,22,263.67
"Proseware Chandelier M0815 Silver","Home Appliances",11-20,8,1068.23
"SV DVD 12-Inch Player Portable M400 White","Music, Movies and Audio Books",11-20,17,1623.92
"Contoso DVD 12-Inch Player Portable M400 Black","Music, Movies and Audio Books",11-20,20,1786.45
"Contoso Screen 125in M250 Black",Computers,11-20,3,920.76
"Fabrikam Business Videographer 2/3'' 17mm M280 White","Cameras and camcorders",11-20,2,765.9
"Contoso DVD Player M140 Gold","Music, Movies and Audio Books",11-20,31,986.27
"Contoso Reserve Pen - Tablet Pen E200 Grey",Computers,11-20,3,20.43
"Contoso 2-Line Corded Cordless Telephone M202 White","Cell phones",11-20,3,46.98
"MGS MechCommander 2009 E173","Games and Toys",11-20,9,127.75
"MGS Dungeon Siege 2009 E163","Games and Toys",11-20,10,207.24
"WWI 2GB Spy Video Recorder Pen M300 Silver",Audio,11-20,24,2700.49
"Contoso Touch Screen Phones Infrared M901 Black","Cell phones",11-20,20,3801.78
"Adventure Works 20" CRT TV E15 Black","TV and Video",11-20,8,648.13
"Fabrikam SLR Camera M147 Silver","Cameras and camcorders",11-20,3,481.37
"WWI Screen 113in M1610 Black",Computers,11-20,13,2554.35
"WWI Desktop PC2.30 M2300 White",Computers,11-20,53,15350.99
"SV Hand Games for Office worker L28 Yellow","Games and Toys",11-20,32,348.31
"Contoso Lens Adapter M450 Black","Cameras and camcorders",11-20,5,148.94
"NT Wireless Bluetooth Stereo Headphones E302 Silver",Audio,11-20,20,431
"MGS Age of Empires Expansion: The Rise of Rome 2009 E181","Games and Toys",11-20,9,122.94
"Adventure Works Desktop PC1.80 ED180 Brown",Computers,11-20,23,4079.6
"Contoso Air conditioner 8000BTU M0320 Grey","Home Appliances",11-20,1,164.98
"WWI Wireless Bluetooth Stereo Headphones M170 White",Audio,11-20,35,2390.41
"Adventure Works 19" Color Digital TV E35 Brown","TV and Video",11-20,10,631.98
"SV Hand Games women M40 Red","Games and Toys",11-20,22,120.03
"Adventure Works Coffee Maker Auto 5C E090 Black","Home Appliances",11-20,4,319.6
"WWI 2GB Spy Video Recorder Pen M300 Purple",Audio,11-20,25,2416.17
"Contoso DVD Recorder L200 Black","Music, Movies and Audio Books",11-20,8,1058.92
"Contoso Water Heater 1.5GPM E0800 White","Home Appliances",11-20,25,3527.87
"Contoso Lens Cap Keeper E314 White","Cameras and camcorders",11-20,5,23.79
"Proseware Laptop19 X910 Black",Computers,11-20,5,4448.72
"WWI 1GB Pulse Smart pen E50 White",Audio,11-20,47,3217.91
"Contoso Water Heater 1.5GPM E0800 Silver","Home Appliances",11-20,6,638.17
"Adventure Works Desktop PC3.0 MS300 Silver",Computers,11-20,41,10062.99
"Adventure Works 15.6" LCD TV M130W Brown","TV and Video",11-20,19,3319.09
"Contoso Travel Charger for S-Series Battery E302 Black","Cameras and camcorders",11-20,8,213.44
"Proseware Slim-Design Fax Machine with Answering System X180 Grey",Computers,11-20,4,572.74
"SV 8xDVD E130 Silver","TV and Video",11-20,2,67.41
"Contoso DVD 9-Inch Player Portable M300 White","Music, Movies and Audio Books",11-20,25,2170.7
"The Phone Company Touch Screen Phone 1600 TFT-2.2" L200 Grey","Cell phones",11-20,9,3773.73
"Adventure Works 15.6" LCD TV M130W White","TV and Video",11-20,22,3889.9
"Contoso Macro Zoom Lens X300 Black","Cameras and camcorders",11-20,2,490.2
"Fabrikam Refrigerator 4.6CuFt E2800 Grey","Home Appliances",11-20,3,441.15
"Contoso Home/Office Laptop Power Adapter E300 Black",Computers,11-20,2,25
"The Phone Company Smart phones Unlocked International M800 Black","Cell phones",11-20,15,2797.05
"SV DVD Movies E100 Yellow","Music, Movies and Audio Books",11-20,14,89.18
"Contoso 3 Handset Cordless Phone System  E30 Black","Cell phones",11-20,9,71.18
"Cigarette Lighter Adapter for Contoso Phones E110 Red","Cell phones",11-20,9,102.72
"A. Datum SLR Camera 35" X358 Gold","Cameras and camcorders",11-20,7,2752.26
"Fabrikam Business Videographer 1/3" 8.5mm M380 Blue","Cameras and camcorders",11-20,2,924.72
"Adventure Works 52" LCD HDTV X590 Black","TV and Video",11-20,4,7756.68
"Fabrikam Coffee Maker 5C E090 White","Home Appliances",11-20,7,488.49
"Contoso Water Heater 4.0GPM M1250 Green","Home Appliances",11-20,11,4410.37
"Proseware Office Jet All-in-One Printer M500 White",Computers,11-20,12,1038.15
"Adventure Works LCD24 X300 White",Computers,11-20,10,6320.43
"SV Hand Games for Office worker L28 Black","Games and Toys",11-20,36,405.84
"WWI Wireless Transmitter and Bluetooth Headphones X250 Silver",Audio,11-20,13,2222.17
"Contoso 4-Line Expandable Cordless Phone System M900 Black","Cell phones",11-20,4,51.23
"Fabrikam Business Videographer 1/2'' 3mm M500 White","Cameras and camcorders",11-20,7,4196.08
"WWI 1GB Digital Voice Recorder Pen E100 White",Audio,11-20,29,2352.32
"Adventure Works 15.6" LCD TV M130W Black","TV and Video",11-20,9,1223.19
"WWI Desktop PC3.0 M0300 Black",Computers,11-20,42,7077.1
"Fabrikam Coffee Maker Auto 5C E090 Black","Home Appliances",11-20,2,212.29
"WWI Desktop PC1.60 E1600 Silver",Computers,11-20,31,3439.83
"The Phone Company PDA Phone Unlocked 4.7 inches L550 White","Cell phones",11-20,13,2914.16
"Proseware Laptop12 M210 White",Computers,11-20,10,1635.61
"Proseware Desk Jet All-in-One Printer, Scanner, Copier M350 White",Computers,11-20,13,1040.96
"The Phone Company Smart phones Unlocked International M800 Grey","Cell phones",11-20,6,705.56
"Proseware Laser Fax Printer M250 Black",Computers,11-20,4,179.06
"Contoso Microwave 0.8CuFt E0080 Black","Home Appliances",11-20,1,46.56
"Proseware LCD19 E1000 Black",Computers,11-20,7,441.7
"Contoso DVD Recorder L240 Gold","Music, Movies and Audio Books",11-20,6,996.63
"The Phone Company Touch Screen Phones - LCD M12 Black","Cell phones",11-20,16,1574.12
"Contoso SLR Camera 35" M358 Gold","Cameras and camcorders",11-20,5,966.85
"MGS MechCollection E116","Games and Toys",11-20,5,68.6
"Contoso Mini Battery Charger Kit E320 White","Cameras and camcorders",11-20,7,100.46
"MGS MechWarrior 4: Vengeance 2009 E175","Games and Toys",11-20,8,125.52
"Proseware Laser Fax Printer E100 White",Computers,11-20,2,89.22
"Contoso SLR Camera X144 Gold","Cameras and camcorders",11-20,13,7014.01
"The Phone Company Touch Screen Phones Capacitive M908 Gold","Cell phones",11-20,21,3275.03
"SV Hand Games for Office worker L28 Red","Games and Toys",11-20,20,227.6
"The Phone Company Smart phones 320 x 320 M86 Gold","Cell phones",11-20,13,1889.51
"Contoso Waterproof Accessory Handset and Charging Cradle M609 White","Cell phones",11-20,13,158.6
"The Phone Company Smart phones 6-LINE SCREEN M21 Pink","Cell phones",11-20,12,1349.14
"Contoso In front of Centrex L15 White","Cell phones",11-20,15,452.22
"WWI Wall Lamp E315 Blue","Home Appliances",11-20,5,184.31
"Litware 18'' Adjustable Oscillating Pedestal Fan E301 White","Home Appliances",11-20,1,18.05
"Contoso USB Wave Multi-Media Keyboard M901 Gold",Computers,11-20,2,27.98
"Fabrikam SLR Camera 35" M358 Gold","Cameras and camcorders",11-20,3,531.48
"Fabrikam SLR Camera 35" M358 Blue","Cameras and camcorders",11-20,3,637.88
"Fabrikam Refrigerator 4.6CuFt E2800 Green","Home Appliances",11-20,3,441.15
"Adventure Works Laptop19W X1980 Red",Computers,11-20,3,2130.9
"SV DVD 48 DVD Storage Binder M50 Silver","Music, Movies and Audio Books",11-20,18,172.24
"The Phone Company Touch Screen Phones - LCD M12 Gold","Cell phones",11-20,16,1822.83
"Proseware LCD24W X300 White",Computers,11-20,12,6972.96
"NT Wireless Bluetooth Stereo Headphones E102 White",Audio,11-20,29,793.05
"SV 16xDVD M300 Silver","TV and Video",11-20,12,930.52
"Contoso Home Theater System 5.1 Channel M1510 Brown","TV and Video",11-20,1,182.25
"Adventure Works Laptop8.9 E0890 Red",Computers,11-20,7,855.95
"A. Datum Super-zoom Digital Camera X300 Green","Cameras and camcorders",11-20,4,624.5
"MGS Rise of Nations: Gold Edition M300","Games and Toys",11-20,6,138.88
"Adventure Works LCD20 M210 White",Computers,11-20,2,200.78
"SV DVD 48 DVD Storage Binder M50 Red","Music, Movies and Audio Books",11-20,18,145.35
"WWI Desktop PC3.0 M0300 Silver",Computers,11-20,25,4602.43
"Contoso Bluetooth Active Headphones L15 Red","Cell phones",11-20,14,1189.5
"NT Bluetooth Active Headphones E202 White",Audio,11-20,21,481.88
"MGS Zoo Tycoon Marine Mania E120","Games and Toys",11-20,17,233.24
"Contoso In-Line Coupler E180 Silver","Cell phones",11-20,19,30.39
"MGS Halo 2 for Windows Vista 2009 E130","Games and Toys",11-20,3,63.24
"The Phone Company Pen Touch Screen Phones M320 Gold","Cell phones",11-20,10,1566.4
"WWI Desktop PC1.80 E1800 Black",Computers,11-20,33,3757.95
"Contoso Private Branch Exchange M88 Black","Cell phones",11-20,4,71.28
"Adventure Works Desktop PC1.80 ED182 White",Computers,11-20,50,11920.49
"The Phone Company PDA GPS Phone 3.7 inch M930 Black","Cell phones",11-20,24,3512.79
"WWI 1GB Digital Voice Recorder Pen E100 Pink",Audio,11-20,16,1162.66
"MGS Hand Games for kids E300 Red","Games and Toys",11-20,10,26.39
"The Phone Company PDA Handheld 3.7 inch M630 Silver","Cell phones",11-20,1,143.68
"NT Wireless Bluetooth Stereo Headphones M402 Purple",Audio,11-20,14,847.64
"Contoso Reserve Pen - Tablet Pen E200 Black",Computers,11-20,1,6.81
"Contoso Touch Stylus Pen E150 Black","Cell phones",11-20,10,55.49
"WWI Wireless Bluetooth Stereo Headphones M170 Silver",Audio,11-20,12,767.26
"Fabrikam SLR Camera M149 Pink","Cameras and camcorders",11-20,9,1244.33
"Contoso Water Heater 1.5GPM E0800 Grey","Home Appliances",11-20,21,3109.78
"Contoso In-Line Coupler E180 White","Cell phones",11-20,19,32.31
"MGS Zoo Tycoon 2: Marine Mania Expansion Pack M270","Games and Toys",11-20,12,437.95
"Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Black",Computers,11-20,3,317.61
"Contoso Projector 480p M481 Silver",Computers,11-20,3,733.8
"WWI Desktop PC1.60 E1600 Black",Computers,11-20,26,2784.74
"The Phone Company Touch Screen Phones 26-1.4" M250 Gold","Cell phones",11-20,6,1065.43
"WWI Laptop12 M0120 Black",Computers,11-20,1,187.71
"Contoso Touch Screen Phones 5-Wire/On-wall M508 Black","Cell phones",11-20,4,557.4
"Contoso Original K1m Li-Ion Standard Battery E170 White","Cell phones",11-20,7,15.49
"Contoso Screen 113in M251 White",Computers,11-20,6,1149.61
"MGS Dungeon Siege: Legends of Aranna 2009 E146","Games and Toys",11-20,4,89.59
"Litware Refrigerator 9.7CuFt M560 Red","Home Appliances",11-20,2,408.97
"WWI LCD24 X300 White",Computers,11-20,2,1095.3
"Contoso Bluetooth Notebook Mouse E70 Silver",Computers,11-20,1,33.18
"Contoso Enhanced Capacity Battery M800 Grey",Computers,11-20,10,150.7
"Contoso DVD 9-Inch Player Portable M300 Black","Music, Movies and Audio Books",11-20,16,1276.35
"A. Datum Rangefinder Digital Camera X200 Azure","Cameras and camcorders",11-20,11,1324.49
"Fabrikam Independent filmmaker 2/3'' 17mm X100 White","Cameras and camcorders",11-20,8,8131.12
"SV 40GB USB2.0 Portable Hard Disk E400 Silver",Computers,11-20,4,196.87
"Contoso Water Heater 4.0GPM M1250 Silver","Home Appliances",11-20,28,10616.05
"Fabrikam Microwave 2.2CuFt M1250 Red","Home Appliances",11-20,10,1219.03
"Contoso 8GB Super-Slim MP3/Video Player M800 Green",Audio,11-20,9,582.87
"MGS Hand Games women M400 Silver","Games and Toys",11-20,11,51.2
"SV Hand Games for students E40 Red","Games and Toys",11-20,12,45.7
"Litware Microwave 2.2CuFt M125 White","Home Appliances",11-20,7,756.14
"Fabrikam Budget Moviemaker 2/3'' 17mm E100 White","Cameras and camcorders",11-20,4,803.88
"Contoso Bluetooth Notebook Mouse X305 White",Computers,11-20,6,601.8
"WWI Desktop PC1.80 E1801 White",Computers,11-20,21,2743.74
"Contoso Pen Touch Screen Phones M320 Black","Cell phones",11-20,15,2450.6
"MGS Zoo Tycoon 2: End range Species Expansion Pack E105","Games and Toys",11-20,6,164.7
"Proseware High-Performance Business-Class Laser Fax X200 White",Computers,11-20,1,165.83
"Contoso 16GB Mp5 Player M1600 Black",Audio,11-20,13,1303.85
"Fabrikam SLR Camera M146 Black","Cameras and camcorders",11-20,5,663.6
"Contoso behind Centrex X15 Grey","Cell phones",11-20,6,171.77
"Contoso 4GB Portable MP3 Player M450 Black",Audio,11-20,14,589.12
"WWI Desktop PC2.30 M2300 Black",Computers,11-20,27,8217.84
"MGS Hand Games for Office worker L299 Yellow","Games and Toys",11-20,17,188.42
"SV DVD 60 DVD Storage Binder L20 Red","Music, Movies and Audio Books",11-20,27,447.05
"Litware Microwave 0.9CuFt E090 White","Home Appliances",11-20,14,686.14
"SV USB Sync Charge Cable E700 Blue",Computers,11-20,2,2.17
"NT Bluetooth Stereo Headphones E52 Blue",Audio,11-20,30,350.08
"NT Wireless Transmitter and Bluetooth Headphones M150 Red",Audio,11-20,14,1466.55
"Fabrikam Business Videographer 1/3'' 8.5mm M380 Grey","Cameras and camcorders",11-20,7,3396.01
"WWI 2GB Spy Video Recorder Pen M300 Black",Audio,11-20,30,2929.62
"Contoso Water Heater 4.3GPM M1250 White","Home Appliances",11-20,3,1274.13
"WWI Stereo Bluetooth Headphones E1000 Black",Audio,11-20,21,625.73
"Contoso Touch Stylus Pen E150 White","Cell phones",11-20,5,27.48
"Litware 80mm Dual Ball Bearing Case Fan E1001 White","Home Appliances",11-20,1,3.2
"Contoso Air conditioner 5200BTU E0100 Red","Home Appliances",11-20,11,525.65
"Proseware Laptop15 M510 White",Computers,11-20,4,1510.24
"Contoso DVD Player M100 Black","Music, Movies and Audio Books",11-20,13,386.08
"Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Grey",Computers,11-20,4,90.68
"Contoso Expandable 3-Handset Cordless Phone System M204 Black","Cell phones",11-20,3,71.14
"Litware Home Theater System 7.1 Channel M710 Brown","TV and Video",11-20,1,534.28
"Contoso USB Optical Mouse E200 Blue",Computers,11-20,3,22.8
"Litware 3-Speed Oscillating High-Performance Fan E201 Silver","Home Appliances",11-20,7,91.39
"Adventure Works 26" 720p LCD HDTV M140 Black","TV and Video",11-20,10,2361.74
"Proseware Screen 106in M1609 White",Computers,11-20,10,1274.52
"The Phone Company Touch Screen Phones 5-Wire/Built-in M500 Grey","Cell phones",11-20,11,1520.97
"WWI Desk Lamp E120 Grey","Home Appliances",11-20,3,44.1
"Adventure Works Desktop PC1.60 ED160 Brown",Computers,11-20,50,5906.96
"WWI 1GB Digital Voice Recorder Pen E100 Black",Audio,11-20,33,2497.44
"The Phone Company PDA Phone Unlocked 3.7 inches M510 Silver","Cell phones",11-20,12,1311.34
"Contoso Rubberized Skin BlackBerry E100 Silver","Cell phones",11-20,6,37.48
"Contoso 16GB Mp5 Player M1600 White",Audio,11-20,10,1470.98
"The Phone Company Touch Screen Phones 26-2.2" M200 Grey","Cell phones",11-20,10,1287.32
"Proseware Laptop19W X910 White",Computers,11-20,3,2818.76
"Fabrikam Refrigerator 24.7CuFt X9800 Brown","Home Appliances",11-20,8,18209.44
"Contoso Water Heater 7.2GPM X1800 Blue","Home Appliances",11-20,12,12557.67
"Contoso SLR Camera M143 Grey","Cameras and camcorders",11-20,8,1635.56
"WWI Wireless Bluetooth Stereo Headphones M270 Silver",Audio,11-20,17,1060.93
"Contoso Phone with 13-Number Memory (210) M301 Grey","Cell phones",11-20,4,49.09
"NT Wireless Bluetooth Stereo Headphones E102 Silver",Audio,11-20,33,825.91
"Litware Microwave 2.2CuFt M125 Blue","Home Appliances",11-20,2,283.92
"Contoso Original K1m Li-Ion Standard Battery E170 Black","Cell phones",11-20,25,49.81
"WWI Screen 125in M1611 White",Computers,11-20,2,554.67
"Contoso DVD Player M120 White","Music, Movies and Audio Books",11-20,35,1046.05
"Fabrikam Refrigerator 19CuFt M7600 Green","Home Appliances",11-20,16,8291.72
"A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black","Cameras and camcorders",11-20,12,1975.79
"Contoso Water Heater 7.2GPM X1800 Red","Home Appliances",11-20,13,12595.25
"Adventure Works 15.6" LCD TV M130W Silver","TV and Video",11-20,8,1053
"Proseware CRT15 E10 Black",Computers,11-20,4,86
"WWI Desktop PC2.33 X2330 Black",Computers,11-20,22,12276.7
"Contoso 4G MP3 Player E400 Silver",Audio,11-20,11,314.25
"Proseware LCD19W M100 White",Computers,11-20,1,89.66
"WWI Laptop15 M0150 Blue",Computers,11-20,8,3020.48
"SV Hand Games for students E40 Black","Games and Toys",11-20,11,37.32
"Contoso Phone with Memory Dialing-single line E88 Black","Cell phones",11-20,7,48.72
"Fabrikam Business Videographer 1/3'' 8.5mm M380 Black","Cameras and camcorders",11-20,10,4971.76
"Adventure Works Laptop8.9 E0890 Black",Computers,11-20,10,1584.26
"WWI Laptop8.9 E0089 Black",Computers,11-20,2,282.53
"Proseware Fax Machine E100 White",Computers,11-20,8,258.61
"Fabrikam Microwave 0.8CuFt E0800 Blue","Home Appliances",11-20,3,113.32
"MGS Zoo Tycoon M380","Games and Toys",11-20,7,340.88
"Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey",Computers,11-20,2,10.07
"Fabrikam Social Videographer 2/3'' 17mm E100 Black","Cameras and camcorders",11-20,2,135.51
"SV DVD Player M140 Gold","Music, Movies and Audio Books",11-20,7,261.71
"MGS Impossible Creatures2009 E154","Games and Toys",11-20,1,18.75
"Contoso Lifestyles Series - Big Button Cordless phone M800 White","Cell phones",11-20,3,28.62
"Contoso Rechargeable Battery Pack E310 White","Cameras and camcorders",11-20,8,237.82
"Contoso Water Heater 4.3GPM M1250 Silver","Home Appliances",11-20,4,1527.46
"SV DVD 38 DVD Storage Binder E25 Silver","Music, Movies and Audio Books",11-20,32,148.55
"Contoso Digital Cordless Expansion Handset Phone M900 Black","Cell phones",11-20,13,200.3
"Adventure Works 52" LCD HDTV X790W White","TV and Video",11-20,3,2704.26
"Contoso KSU-less key system M38 Black","Cell phones",11-20,4,61.36
"Contoso Air conditioner 7000BTU E0260 White","Home Appliances",11-20,2,219.96
"Fabrikam Refrigerator 4.6CuFt E2800 Blue","Home Appliances",11-20,3,329.94
"Adventure Works 52" LCD HDTV X590 Silver","TV and Video",11-20,4,5801.22
"Contoso Bright Light battery E20 White",Computers,11-20,4,70.56
"The Phone Company Smart phones Expert M400 White","Cell phones",11-20,3,638.13
"Proseware Laser Fax Printer E100 Black",Computers,11-20,4,245.61
"Fabrikam Business Videographer 1/2'' 3mm M500 Black","Cameras and camcorders",11-20,3,1969.39
"SV Hand Games for kids E30 Red","Games and Toys",11-20,2,5.87
"Contoso Private Automatic Branch Exchange M65 Grey","Cell phones",11-20,3,83.13
"Contoso 16GB New Generation MP5 Player M1650 Silver",Audio,11-20,14,1641.26
"Contoso Expandable1-Handset Cordless Phone System M207 White","Cell phones",11-20,6,133.68
"Fabrikam Microwave 0.8CuFt E0800 Black","Home Appliances",11-20,2,71.75
"MGS Hand Games men M300 Red","Games and Toys",11-20,11,40.86
"Contoso Private Branch Exchange M88 Grey","Cell phones",11-20,11,196.02
"Contoso DVD 14-Inch Player Portable L100 White","Music, Movies and Audio Books",11-20,15,2412.83
"Contoso Hybrid system M60 Black","Cell phones",11-20,14,280.51
"SV 8xDVD E140 Black","TV and Video",11-20,4,129.4
"Proseware Laser Fax Printer M250 Grey",Computers,11-20,1,63.74
"Proseware Professional Quality Plain-Paper Fax and Copier X100 Grey",Computers,11-20,2,314.33
"Contoso Water Heater 4.0GPM M1250 White","Home Appliances",11-20,10,4013.76
"Contoso 16GB New Generation MP5 Player M1650 blue",Audio,11-20,3,348.88
"The Phone Company Touch Screen Phones 26-2.2" M200 Black","Cell phones",11-20,6,753.06
"The Phone Company Smart phones 4 GB of Memory M300 White","Cell phones",11-20,15,1715.28
"Contoso Digital Cameras Lightweight Tripod E316 White","Cameras and camcorders",11-20,3,59.06
"Fabrikam Independent Filmmaker 1/2'' 3mm X300 Grey","Cameras and camcorders",11-20,1,814.04
"Contoso DVD Recorder L220 White","Music, Movies and Audio Books",11-20,10,1307.27
"The Phone Company Pen Touch Screen Phones-2.6" M320 Black","Cell phones",11-20,10,1317.06
"The Phone Company Smart phones 160x160 M26 Gold","Cell phones",11-20,13,1304.25
"Contoso Dual Handset Cordless Phone System E20 White","Cell phones",11-20,1,5.1
